Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Forest area (sq. km) [AG.LND.FRST.K2],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Income share held by lowest 20% [SI.DST.FRST.20],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],Net migration [SM.POP.NETM],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Time required to start a business (days) [IC.REG.DURS],"Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Urban population growth (annual %) [SP.URB.GROW]
2012,YR2012,Afghanistan,AFG,100.797,24.39087363,43.01590668,39.9,0.259295334,,,,,,2580631878,5.562,56823660,12084.4,19907317066,12.75228709,630,1920,19553331947,59760957552,,,59,,,21.15780715,7.301756471,62.054,47.71110024,1.17541612,49.22797697,80.3,147.0639095,521769,6666319824,219416087.5,47.77667081,3.407600033,31161378,,,0.1,,,10.20062464,103.4923935,0.669250011,53.61804962,50,652860,7.707800603,,9.5,0.598264391,4.288951296
2012,YR2012,Albania,ALB,20.73,18.76680189,4.179702602,,1.50324046,,70.17541405,2118.327776,687.8962599,28.93748776,7384500627,1.684,917994575.8,7849.17,12319830437,1.4172428,4360,10450,12658292221,30302965411,28.32854996,0.922637019,98,47.57271286,8.9,22.91855334,1.042714606,77.252,55.56894662,1.487082577,120.1058579,11.2,95.25016353,-136590,349070007.3,1419772515,105.8540511,-0.16515104,2900401,0.6,14.3,0.1,,98.67212677,23.05071012,97.58512878,0.990100026,92.28983307,73.33333333,28750,17.48323356,,5,14.23787217,1.848378936
2012,YR2012,Algeria,DZA,11.556,8.770686355,69.35182715,,3.609307651,,,1237.966109,1229.54703,36.89054781,5515687724,2.952,1500402453,19332,2.09059E+11,3.4,5200,13130,1.94405E+11,4.91032E+11,39.15272914,0.343094841,95,28.51443139,,38.65546203,7.458336524,75.436,58.47344755,4.46107862,100.384679,26.2,290.9305132,-143268,147270004.3,214841268.6,15.69604533,1.951463675,37383899,,,0.1,3,101.5528793,,118.0795898,,,58.88888889,2381740,,,22,1.079701181,2.941620659
2012,YR2012,American Samoa,ASM,,,,,,,,,,75.46875,,,,173.7,640000000,-4.334828102,,,,,,,,100.9375,,,17.36842105,,127.8125,,,,138.6424885,,,,278.345,-0.154365338,55669,,,,,,,,,,,200,,,,,-0.248324961
2012,YR2012,Andorra,AND,,,,,5.944654173,,,,,,,,,160,3188652765,-4.974443719,,,,,,20.65371422,98,,,,0.174556906,,,,77.48067987,4,,,,,175.3765957,-1.589923668,82427,,,,,,,,,,,470,,,,,-1.696543182
2012,YR2012,Angola,AGO,167.4,6.069629991,0.476824324,,0.950695879,,,219.2534827,552.3637656,55.94013063,36856294100,6.039,-1464627991,710478.76,1.24998E+11,8.540000003,4080,6810,1.02343E+11,1.70976E+11,26.66757737,,65,35.85996671,,56.91821896,7.257832051,57.236,75.84911746,3.236659499,50.92059955,105.1,249.3476491,166267,243210006.7,40348853.99,20.1395083,3.597754539,25107925,,,1.9,,,36.22542423,,,,50,1246700,14.82271911,,66,8.210700333,4.81291353
2012,YR2012,Antigua and Barbuda,ATG,47,1.898847481,8.461538462,100,7.74276315,,,,,79.01575994,,1.993,129367138.9,86.48,1199948148,3.3728662,12780,18950,1155839506,1713287782,22.13058589,,98,72.51239251,,14.28549382,2.035711982,76.087,46.25199854,,140.8941588,9,70.06928107,943,2069999.933,20856220,205.4704545,1.288027737,90407,,,,,,,108.0301819,1.039039969,109.5244293,51.11111111,440,,,22,,0.595433882
2012,YR2012,Argentina,ARG,63.567,5.781744207,12.90753425,98.2,4.264223782,,30.60122159,3000.603523,1936.80354,16.23785946,1.39878E+11,2.33,15323933917,297672,5.45982E+11,-1.026420454,11890,19180,4.96046E+11,8.00318E+11,16.50198653,6.636365014,94,14.28868291,5,24.42905706,22.31488067,75.598,27.09904323,0.784824721,154.059023,13.3,167.1272495,30000,177750000,577532962.1,15.2495427,1.136905694,41733271,0.6,,0.4,,103.3522491,21.1822346,114.2271729,1.034610033,103.4764786,85.55555556,2780400,12.95284151,,24.5,14.06013209,1.280773703
2012,YR2012,Armenia,ARM,24.842,17.91268195,42.87797055,100,1.983192027,,41.38846195,1892.006869,1029.93996,27.56181148,7640566739,1.725,496636701.1,3301.44,10619320049,7.200000001,3880,9740,11192555391,28085043286,24.68095275,2.850901359,97,48.39986448,9,27.82709461,5.345804418,73.82,53.12016188,3.583766919,115.2069146,16.4,116.8412341,-30535,264769989,1914983997,101.3080084,0.267429455,2884239,0.8,,,,93.8516922,22.59780405,98.91773987,,,86.66666667,29740,17.49164208,,8,29.15362217,0.109435278
2012,YR2012,Aruba,ABW,28.512,,,,,,,,,73.1040376,,1.795,-314692737.4,4.2,2615083799,-1.035375324,24330,33100,2495641305,3394441794,23.52061525,11.25918122,,83.55052339,,,0.168847373,75.299,131.3351794,,131.6302652,,104.5878594,1253,,4860335.196,569.8055556,0.503385468,102565,,,,,,,104.0871277,1.021559954,111.1597672,,180,,,,,0.543931063
